date,time,addr,text
9/24/19,4:48 PM,3330 Walnut St Philadelphia,Secured bicycle taken
9/24/19,6:37 PM,3400 Spruce St Philadelphia,Defiant Trespass by offender/Arrest
9/25/19,9:44 PM,2929 Walnut St Philadelphia,Unsecured wallet and various items taken
9/26/19,12:08 PM,515 Osler Cir Philadelphia,Unattended purse stolen
9/26/19,10:32 PM,3901 Locust Walk Philadelphia,Bike seat stolen
9/27/19,6:20 PM,3333 Walnut St Philadelphia,Fraudulent gift card conversion
9/27/19,7:58 PM,4000 Spruce St Philadelphia,Secured bike taken/2 arrests
9/28/19,2:00 AM,3000 Ludlow St Philadelphia,Aggravated assault/Arrest
9/28/19,8:37 AM,3925 Walnut St Philadelphia,Merchandise taken without payment
9/28/19,12:02 PM,3330 Walnut St Philadelphia,Macbook Pro laptop and Air Pods taken
9/29/19,1:00 AM,4103 Locust St Philadelphia,Various electronics taken from residence
9/29/19,1:01 AM,4000 Spruce St Philadelphia,Payments not made for services rendered
9/29/19,2:34 AM,3700 Spruce St Philadelphia,Confidential Sex offense
9/29/19,11:09 AM,51 N 39th St Philadelphia,Property taken from room
9/29/19,1:28 PM,3620 Walnut St Philadelphia,Property taken from unsecured desk
9/29/19,4:49 PM,3611 Walnut St Philadelphia,Skateboard taken from lobby
9/23/19,4:47 PM,41st& Walnut St Philadelphia,Robbery
9/23/19,4:56 PM,4000 Baltimore Ave Philadelphia,Indecent Assault
9/24/19,2:08 PM,37th& Spruce Sts Philadelphia,Domestic Assault
9/24/19,11:38 PM,4600 Chestnut St Philadelphia,Purse snatch
9/25/19,9:39 AM,3400 Civic Center Blvd Philadelphia,Assault
9/25/19,12:20 PM,104 S 40th St Philadelphia,Assault
9/26/19,1:21 PM,400 Blk S 48th St Philadelphia,Rape/Arrest
9/28/19,4:00 AM,3000 Blk Ludlow St Philadelphia,Aggravated Assault/Arrest
9/28/19,5:28 PM,4200 Chester Ave Philadelphia,Aggravated Assault
9/29/19,2:34 AM,3700 Blk Spruce St Philadelphia,Rape
9/29/19,10:53 PM,4732 Upland St Philadelphia,Assault
